TRANSACTION DETAILS,Category
Indiaforensic NFS SETT 18-12-201,Other
RTGS/SBINH16008563935/Indfor,Other
OXYGEN NFS SETT 08-06-201,Other
TRF FROM,Other
FDRL/NATIONAL ELECTRONIC F,Bank Transfers
NEFT/SBIN817054478646/Indfor,Other
CR/703911021892/RMCPL00928/,Other
NEFT/000062072621/PAYU PA,Other
Indiaforensic RUPAY SETT 091218,Other
CR735212649809/RMCPL20295/1,Other
RTGS/SBTRH16097681675/Indfor,Other
Indiaforensic  RUPAY SETT 260918,Other
INTERNAL FUND TRANSFER IN,Bank Transfers
AEPS Indiaforensic S TAX 311216,Other
727219959311,Other
Indiaforensic RUP STL INTC020319,Other
IMPS 16082017 1C,Other
FDRL/NATIONAL ELECTRONIC F,Bank Transfers
Indiaforensic RUPAY POS ACQ 0305,Other
AEPS INCOME DT 11-01-2018,Other
CR719812544287/RMCPL09050/1,Other
QWIKCILVER SOLUTIONS PRIV,Other
AEPS INCOME DT 21-09-2018,Other
INTERNAL FUND TRANSFER IN,Bank Transfers
IMPS 060617 4C,Other
NEFT/N342170428140359/PAY,Other
INTERNAL FUND TRANSFER IN,Bank Transfers
RTGS/HDFCH17352475712/PAY,Other
TRF FROM  Indiaforensic SERVICES,Business Services
Indiaforensic  RUPAY SETT 240518,Other
INDIAIDEAS.COM LTD,Payment Gateways
FDRL/NATIONAL ELECTRONIC F,Bank Transfers
CASHDEP/RMALL/,Cash Deposits
CASHDEP/VIKASMARG/TP/CASH,Cash Deposits
AEPS GST INC DT 05-07-201,Other
CHQ DEP/18359/OWDEL1/JAKA,Other
DSB SHORT CSH SIKANDRAPUR,Other
CHQ DEP/373/OWDEL1/RAJAS/,Other
IMPS 121117 1C,Other
RTGS/YESBH16173519903/Indfor,Other
IMPS I/W 270915 1C,Other
NEFT/ALLAH17019308850/M/s,Other
Indiaforensic SERVICES INDIA PVT,Business Services
SWCH BHRT CESS - DMT CHAR,Other
CHQ DEPOSIT RETURN/8955/G,Other
AEPS Indiaforensic INCOME 140916,Other
CR719911979501/RMCPL00139/1,Other
INTERNAL FUND TRANSFER IN,Bank Transfers
RTGS/UTIBH18120681819/PER,Other
TRF TO  Indiaforensic SERVICES I,Business Services
MTNL,Other
AEPS ACQ REP ADJ FEES 020,Other
IRCTC CORPORATE OFFICE AC,Travel
IMPS 0709184C,Other
FDRL/NATIONAL ELECTRONIC F,Bank Transfers
FDRL/NATIONAL ELECTRONIC F,Bank Transfers
IMPS PENALTY 08032016 1C,Other
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
TRF FROM  Indiaforensic SERVICES,Business Services
DSB CASH PICKP Indiaforensic GUR,Cash Deposits
INTERNAL FUND TRANSFER IN,Bank Transfers
BEAT CSH PKP DEL GURGA 77,Other
INTERNAL FUND TRANSFER IN,Bank Transfers
FDRL/NATIONAL ELECTRONIC F,Bank Transfers
728621684425,Other
NEFT/N158180558940288/ASH,Other
DISH INFRA SERVICES PRIVA,Other
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
Indiaforensic VISA ACQ DOM 03041,Other
CASHDEP/BORIVALI/,Cash Deposits
QWIKCILVER SOLUTIONS PVT,Other
NEFT/AXISF15323093936/Indfor,Other
INDO GIBL Indiaforensic STL18011,Other
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
IMPS I/W 151115 1C,Other
NEFT/FDRL656260253/Indiaforensic,Other
CR734613511942/RMCPL18804/1,Other
DIGIVIVE SERVICES PRIVATE,Other
FDRL/REAL TIME GROSS SETTL,Bank Transfers
CR715612404822/RMCPL14776/0,Other
Indiaforensic NFS SETT 14-06-201,Other
NEFT/FDRL392043273/Indiaforensic,Other
CASHDEP/SILVASSA/,Cash Deposits
FDRL/NATIONAL ELECTRONIC F,Bank Transfers
MICRO ATM WDL FEE DT26111,Other
PASFAR TECHNOLOGIES PRIVA,Business Services
CR825313324748/RMCPL23562/1,Other
IMPS 819721829022 FROM OX,Other
"DIGITAL PERSONA, INC/USD/",Other
Indfor INCOME INDO REMI02111,Other
"Indiaforensic USA, INC./USD/1345",Other
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
FDRL/NATIONAL ELECTRONIC F,Bank Transfers
INTERNAL FUND TRANSFER IN,Bank Transfers
IMPS 16082017 3C,Other
Indiaforensic RUPAY POS ACQ30081,Other
RTGS/PUNBH16090013709/Indfor,Other
INTERNAL FUND TRANSFER IN,Bank Transfers
DSB CASH PICKP IndiaforensicGUR1,Cash Deposits
FDRL/REAL TIME GROSS SETTL,Bank Transfers
IMPS OW 18052016 4C,Other
IMPS 813121133349 FROM OX,Other
VISA POS ACQ SETTL 210217,Other
COMMDEL CONSULTING SERVIC,Other
RTGS/SBINH15257890364/Indfor,Other
CASHDEP/UDAIPUR/TP,Cash Deposits
IMPS RTN 17122016,Other
PASFAR TECHNOLOGIES PRIVA,Business Services
TRF TO  Indiaforensic SERVICES I,Business Services
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
Sweep Trf To: 40900036427,Bank Transfers
NEFT/CITIN17780138670/PAY,Other
CHQ DEP/103/OWDEL1/HDFC/D,Other
Indiaforensic NFS SETT 07-09-201,Other
IMPS 170617 2C,Other
CASHDEP/KAROL BAGH/,Cash Deposits
Indiaforensic  RUPAY SETT 150618,Other
Indiaforensic NFS SETT 08-08-201,Other
CASHDEP/NAVPADA/,Cash Deposits
CASHDEP/NOIDA/TP,Cash Deposits
RTGS/SBINH15294419549/Indfor,Other
RTGS/SBINH15241360908/Indfor,Other
BIGTREE ENTERTAINMENT PRI,Entertainment
OXYGEN NFS SETT 08-06-201,Other
AVENUES INDIA PRIVATE LIM,Payment Gateways
FDRL/NATIONAL ELECTRONIC F,Bank Transfers
718412205471,Other
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
Indiaforensic SERVICES INDIA PVT,Business Services
IMPS 170417 3C,Other
Indiaforensic RUPAY SETT 311218,Other
TRF FRM  Indiaforensic SERVICES,Business Services
CASHDEP/PITAMPURA/LCT,Cash Deposits
OXYGEN NFS SETT 07-06-201,Other
CASHDEP/GURGAON/,Cash Deposits
NEFT/AXISF15262052537/Indfor,Other
Indiaforensic NFS SETT 07-11-201,Other
CHQ DEP/712794/OWDEL1/IOB,Other
MICRO ATM INC DATED 23011,Other
NEFT/AXIC152264410460/Indfor,Other
Indiaforensic RUPAY SETT 060718_,Other
TRF TO  Indiaforensic SERVICES I,Business Services
Indiaforensic NFS SETT 07-12-201,Other
TRF TO  Indiaforensic SERVICES I,Business Services
Indiaforensic SERVICES INDIA PVT,Business Services
IMPS IW 10082016 4C,Other
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
RTGS/ICICH15322012756/Indfor,Other
AEPS ACQUIRING ADJ FEES 1,Other
Indiaforensic RUPAY STL INTC1211,Other
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
AEPS Indiaforensic S TAX 090517,Other
TRF FRM  Indiaforensic SERVICES,Business Services
AEPS Indiaforensic INCOME 090517,Other
DSB CASH PICKP Indiaforensic MET,Cash Deposits
Indiaforensic AEPS NPCI WDL SET,Other
CASHDEP/DOMBIVLI-E/,Cash Deposits
NEFT/AXISF15250007886/Indfor,Other
IB:TPFT0041416141 4090004,Other
CASHDEP/KAROL BAGH/LCT,Cash Deposits
CASHDEP/KAROL BAGH/,Cash Deposits
NEFT/CITIN16722939421/PAY,Other
1196428:Int.Coll:01-07-20,Other
INTERNAL FUND TRANSFER IN,Bank Transfers
FDRL/NATIONAL ELECTRONIC F,Bank Transfers
RTGS/ICICH16083324146/Indfor,Other
CASHDEP/KALYAN-W/,Cash Deposits
RTGS/SBINH15302668798/Indfor,Other
NEFT/N137180543340560/TEC,Other
CASHDEP/NOIDA/TP,Cash Deposits
IMPS 829813769453 FROM SA,Other
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
CASHDEP/RMALL/,Cash Deposits
AEPS GST INC DT 23-07-201,Other
IMPS 1804184C,Other
BSES RAJDHANI POWER LIMIT,Utilities
IMPS OW RET 1C 24082016,Other
TRF FROM Indiaforensic SERVICES,Business Services
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
CR826112443718/RMCPL26770/1,Other
CASHDEP/HAUS KHAS/KAMAL,Cash Deposits
BEAT CSH PKP DEL GURGA 62,Other
CASHDEP/HAUS KHAS/NEERAJ,Cash Deposits
FDRL/NATIONAL ELECTRONIC F,Bank Transfers
CASHDEP/RAJOURI/,Cash Deposits
CASHDEP/VIKASMARG/TP,Cash Deposits
RTGS/SBINH15345412018/Indfor,Other
Indiaforensic SERVICES INDIA PVT,Business Services
CASHDEP/HAUS KHAS/UMESH,Cash Deposits
FDRL/NATIONAL ELECTRONIC F,Bank Transfers
Indiaforensic VISA ACQ INT 26111,Other
TRF TOESC,Other
RTGS/ICICH15322012786/Indfor,Other
NEFT/000059883332/PAYU PA,Other
IMPS O/W RTN & REPRESENTM,Other
IRCTC CORPORATE OFFICE AC,Travel
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
IMPS 310520183C,Other
CR821511016141/RMCPL18859/0,Other
RTGS/SBINH18179003304/Indfor,Other
NEFT/SBIN616032272939/Indfor,Other
BBPS DT 24102018,Other
TRF TO Indiaforensic SERVICES IN,Business Services
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
NEFT/SBIN116358476802/Indfor,Other
TRF FRM  Indiaforensic SERVICES,Business Services
IMPS 2402191C,Other
NEFT/CITIN17779485501/PAY,Other
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
Indiaforensic  RUP SETT 130219,Other
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
IMPS 0705184C,Other
Sweep Trf To: 40900036427,Bank Transfers
RTGS/SBINH15316252097/Indfor,Other
Sweep Trf To: 40900036427,Bank Transfers
TRF TO  Indiaforensic SERVICES I,Business Services
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
CASHDEP/SILVASSA/,Cash Deposits
INTERNAL FUND TRANSFER IN,Bank Transfers
RTGS/SBINH15278690766/Indfor,Other
CASHDEP/FARIDABAD/TP,Cash Deposits
INWARD CHQ RETURN/874189/,Other
CASHDEP/NOIDA/TP,Cash Deposits
Indiaforensic NFS SETT 07-09-201,Other
IMPS IW 10022016 4C,Other
FDRL/NATIONAL ELECTRONIC F,Bank Transfers
IMPS I/W 190815 4C,Other
IMPS IW 08092016 3C,Other
ICA 17825 Indiaforensic MC INT 1,Other
SONATA FINANCE PRIVATE LI,Finance
DSB CASH PICKP Indiaforensic GUR,Cash Deposits
CASHDEP/HYDERABAD/,Cash Deposits
IMPS 1502181C,Other
CASHDEP/GURGAON/LCT,Cash Deposits
CHQ DEPOSIT RETURN/120276,Other
CASHDEP/RMALL/,Cash Deposits
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
FDRL/NATIONAL ELECTRONIC F,Bank Transfers
IMPS 2011171C,Other
CASHDEP/PITAMPURA/TP,Cash Deposits
CASHDEP/BORIVALI/,Cash Deposits
Indiaforensic AEPS NPCI WDL SET,Other
RTGS/YESBH16253923459/Indfor,Other
NOMISMA MOBILE SOLUTIONS,Finance
NEFT/AXISF16126049161/Indfor,Other
CR730414432377/RMCPL17908/3,Other
CR717411190888/RMCPL14788/1,Other
CASHDEP/GURGAON/,Cash Deposits
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
CR824813220346/RMCPL27285/0,Other
Indiaforensic SERVICES INDIA PVT,Business Services
Sweep Trf To: 40900036427,Bank Transfers
FDRL/NATIONAL ELECTRONIC F,Bank Transfers
CASHDEP/NOIDA/TP,Cash Deposits
Indiaforensic VISA ACQ DOM300918,Other
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
CASHDEP/VIKASMARG/TP,Cash Deposits
BBPS SETTMT DTD 050817,Other
Indiaforensic VISA ACQ DOM 23041,Other
DIGIVIVE SERVICES PRIVATE,Other
730018885286,Other
CASHDEP/FARIDABAD/TP,Cash Deposits
FDRL/NATIONAL ELECTRONIC F,Bank Transfers
CHQ DEP/97798/OWDEL1/CBIN,Other
CR805013789851/RMCPL24063/1,Other
AVENUES INDIA PRIVATE LIM,Payment Gateways
NEFT/FDRL392899142/Indiaforensic,Other
RTGS/HDFCH17361178312/PAY,Other
CR831817528988/RMCPL12459/1,Other
Indiaforensic AEPS NPCI DEP SET,Other
CASHDEP/CAPITOL PT/,Cash Deposits
TRF TO  Indiaforensic SERVICES I,Business Services
TRF FRM  Indiaforensic SERVICES,Business Services
DIMENSIONS,Other
TRF FROM  Indiaforensic SERVICES,Business Services
TRF TO  Indiaforensic SERVICES I,Business Services
JUST DIAL LIMITED,Business Services
TRF FRM  Indiaforensic SERVICES,Business Services
FDRL/REAL TIME GROSS SETTL,Bank Transfers
FUND TRF TO  Indiaforensic SERVI,Other
CR822717990279/RMCPL15035/1,Other
TRF FRM  Indiaforensic SERVICES,Business Services
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
IMPS 2007182C,Other
IRCTC CORPORATE OFFICE AC,Travel
NEFT/AXISF16145075276/Indfor,Other
NEFT/FDRL334294240/Indiaforensic,Other
Indiaforensic NFS SETT 01-03-201,Other
Indiaforensic RUPAY STL INTC0108,Other
IMPS RTN 05012017,Other
NEFT RTN/RETD161216003455,Other
BEAT CSH PKP DEL GURG 520,Other
FDRL/NATIONAL ELECTRONIC F,Bank Transfers
RTGS/ICICH16061834540/Indfor,Other
NEFT/BKIDN16223229444/SUM,Other
FDRL/NATIONAL ELECTRONIC F,Bank Transfers
CASHDEP/SILVASSA/,Cash Deposits
DSB CASH PICKP Indiaforensic MET,Cash Deposits
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
NEFT/N011180451792919/PAY,Other
TRF FRM  Indiaforensic SERVICES,Business Services
TRF TO  Indiaforensic SERVICES I,Business Services
TRF TO Indiaforensic SERVICES IN,Business Services
FDRL/REAL TIME GROSS SETTL,Bank Transfers
IMPS OW 05042017 3C,Other
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
NEFT/FDRL504549133/Indiaforensic,Other
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
INTERNAL FUND TRANSFER IN,Bank Transfers
CHQ DEPOSIT RETURN/687035,Other
INTERNAL FUND TRANSFER IN,Bank Transfers
CASHDEP/DOMBIVLI-E/,Cash Deposits
CASHDEP/NOIDA/TP,Cash Deposits
FDRL/NATIONAL ELECTRONIC F,Bank Transfers
AEPS PAY Indiaforensic 2410,Other
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
AEPS Indiaforensic INCOME 220717,Other
CASHDEP/NEW-DELHI/,Cash Deposits
CASHDEP/NOIDA/TP,Cash Deposits
CR824918539773/RMCPL24700/0,Other
Indiaforensic RUPAY STL INTC0110,Other
SYNERGISTIC FINANCIAL NET,Other
CASHDEP/KAROL BAGH/,Cash Deposits
Indiaforensic AEPS NPCI DEP SET,Other
NEFT/SBIN118193448667/HAR,Other
Indiaforensic VISA ACQ INT 06121,Other
Indiaforensic NFS SETT 06-01-201,Other
IMPS 824415170382 FROM PU,Other
NOMISMA MOBILE SOLUTIONS,Finance
Indiaforensic AEPS NPCI WDL SET,Other
NEFT/AXIC171544953555/Indfor,Other
INTERNAL FUND TRANSFER IN,Bank Transfers
RTGS/YESBH16082198698/Indfor,Other
CR820519678449/RMCPL20439/2,Other
CR812916900810/RMCPL20328/0,Other
INTERNAL FUND TRANSFER IN,Bank Transfers
SERVICE TAX,Other
INTERNAL FUND TRANSFER IN,Bank Transfers
CR814511891876/RMCPL16251/2,Other
INTERNAL FUND TRANSFER IN,Bank Transfers
IMPS 802914482031 FROM RA,Other
INTERNAL FUND TRANSFER IN,Bank Transfers
Indiaforensic MASTER ACQ DOM0406,Other
FDRL/REAL TIME GROSS SETTL,Bank Transfers
CASHDEP/FARIDABAD/TP,Cash Deposits
CASHDEP/PANIPAT/0146,Cash Deposits
IMPS 816923434727 FROM OX,Other
FDRL/REAL TIME GROSS SETTL,Bank Transfers
IMPS 2707183C,Other
701717875978,Other
FDRL/NATIONAL ELECTRONIC F,Bank Transfers
HUNGAMA DIGITAL MEDIA ENT,Other
CASHDEP/KAROL BAGH/,Cash Deposits
Indiaforensic NFS SETT 26-11-201,Other
CHQ DEP/381584/OWDEL1/SBI,Other
TRF TO Indiaforensic SERVICES IN,Business Services
IMPS IW 04032016 3C,Other
NEFT/CITIN17734332349/PAY,Other
Indiaforensic AEPS NPCI DEP SET,Other
CR822616737139/RMCPL25071/1,Other
AEPS Indiaforensic S TAX 220217,Other
722118730165,Other
INTERNAL FUND TRANSFER IN,Bank Transfers
NEFT/N099180516139576/PAY,Other
NPCI_SETT_DIFF_251118,Other
PAYU PAYMENTS PRIVATE LIM,Payment Gateways
CASHDEP/RAJOURI/LCT,Cash Deposits
AEPS INCOME DT 27-09-2018,Other
TRANGLO SDN BHD/USD/60000,Other
TRF FRM  Indiaforensic SERVICES,Business Services
BBPS DT 15102018,Other
TRF FROM  Indiaforensic SERVICES,Business Services
CASHDEP/NOIDA/TP,Cash Deposits
Indiaforensic NFS SETT 08-09-201,Other
RTGS/ICICH15182011818/Indfor,Other
TRF FRM  Indiaforensic SERVICES,Business Services
AEPS Indiaforensic S TAX 040217,Other
Sweep Trf To: 40900036427,Bank Transfers
IRCTC CORPORATE OFFICE AC,Travel
PAYU PAYMENTS PRIVATE LIM,Payment Gateways
NEFT/CITIN17805639434/PAY,Other
Indiaforensic NFS SETT 22-12-201,Other
IMPS 831822183649 FROM GA,Other
INTERNAL FUND TRANSFER IN,Bank Transfers
TRF TO  Indiaforensic SERVICES I,Business Services
CASHDEP/DAMAN/,Cash Deposits
BIGTREE ENTERTAINMENT PRI,Entertainment
CR823611165550/RMCPL15176/2,Other
FDRL/REAL TIME GROSS SETTL,Bank Transfers
TRF FROM  Indiaforensic SERVICES,Business Services
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
Indiaforensic SERVICES INDIA PVT,Business Services
OXYGEN NFS SETT 24-05-201,Other
CR719910972930/RMCPL11264/1,Other
FDRL/REAL TIME GROSS SETTL,Bank Transfers
FDRL/NATIONAL ELECTRONIC F,Bank Transfers
IMPS 813217332960 FROM OX,Other
IMPS IW 11072016 3C,Other
CASHDEP/SURAT/,Cash Deposits
Indiaforensic MASTER ACQ DOM1410,Other
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
IMPS 0502191C,Other
FDRL/NATIONAL ELECTRONIC F,Bank Transfers
TRF TO  Indiaforensic SERVICES I,Business Services
Indiaforensic RUPAY STL INTC1412,Other
FDRL/NATIONAL ELECTRONIC F,Bank Transfers
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
NEFT/CITIN16616809757/PAY,Other
NEFT/AXISF16236030558/Indfor,Other
Indiaforensic NFS SETT 17-10-201,Other
BIGTREE ENTERTAINMENT PRI,Entertainment
CASHDEP/NOIDA/TP,Cash Deposits
RTGS/ORBCH18188076169/BAJ,Other
Indiaforensic RUP SETT 140119,Other
AVENUES INDIA PRIVATE LIM,Payment Gateways
NEFT/000062991734/METRO I,Other
CASHDEP/HAUS KHAS/NIRAJ,Cash Deposits
CASHDEP/DOMBIVLI-E/,Cash Deposits
AEPS ACQ REP ADJ FEES 060,Other
NEFT/SBIN516174953887/Indfor,Other
TRF TO  Indiaforensic SERVICES I,Business Services
FDRL/NATIONAL ELECTRONIC F,Bank Transfers
CASHDEP/HAUS KHAS/CASH DE,Cash Deposits
CASHDEP/NOIDA/TP,Cash Deposits
TRF TO Indiaforensic SERVICES IN,Business Services
MICRO ATM GST DATED 23091,Other
CR718415995902/RMCPL15388/0,Other
BBPS DT 13102018,Other
MICRO ATM INC DATED 12011,Other
TRF FROM  Indiaforensic SERVICES,Business Services
JUST DIAL LIMITED,Business Services
IRCTC CORPORATE OFFICE AC,Travel
FDRL/REAL TIME GROSS SETTL,Bank Transfers
Indiaforensic VISA ACQ INT 24111,Other
TRF FROM  Indiaforensic SERVICES,Business Services
Indiaforensic NFS SETT 30-10-201,Other
VODAFONE MOBILE SERVICES,Other
CR812311200773/RMCPL18191/0,Other
Indiaforensic NFS SETT 08-08-201,Other
Indiaforensic SERVICES INDIA PVT,Business Services
CR720115064801/RMCPL11943/2,Other
INTERNAL FUND TRANSFER IN,Bank Transfers
INTERNAL FUND TRANSFER IN,Bank Transfers
DISH INFRA SERVICES PRIVA,Other
IMPS OW 09082016 4C,Other
CASHDEP/KAROL BAGH/,Cash Deposits
CASHDEP/NOIDA/TP,Cash Deposits
RTGS/IDFBH18045300961/ART,Other
CASHDEP/GURGAON/LCT,Cash Deposits
FDRL/NATIONAL ELECTRONIC F,Bank Transfers
NEFT/SBIN318110532553/JAI,Other
IMPS 833517085017 FROM OX,Other
Sweep Trf To: 40900036427,Bank Transfers
CASHDEP/FARIDABAD/TP,Cash Deposits
CR/702810535636/RMCPL09286/,Other
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
IMPS 811912345766 FROM OX,Other
FDRL/NATIONAL ELECTRONIC F,Bank Transfers
INTERNAL FUND TRANSFER IN,Bank Transfers
CASHDEP/NOIDA/TP,Cash Deposits
TRF TO  Indiaforensic SERVICES I,Business Services
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
FDRL/NATIONAL ELECTRONIC F,Bank Transfers
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
NEFT/CITIN15603263665/PAY,Other
AEPS Indiaforensic GST 061217,Other
IMPS 0102191C,Other
FDRL/NATIONAL ELECTRONIC F,Bank Transfers
FDRL/NATIONAL ELECTRONIC F,Bank Transfers
IMPS 2307183C,Other
PBGI01001500174:Bank Guar,Other
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
Indiaforensic NFS SETT 08-10-201,Other
FUTURE RETAIL LIMITED (OW,Shopping/Retail
TRF TO  Indiaforensic SERVICES I,Business Services
CASHDEP/RMALL/,Cash Deposits
CR732217319499/RMCPL19639/1,Other
TRF FROM Indiaforensic SERVICES,Business Services
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
DSB CASH PICKP Indiaforensic GUR,Cash Deposits
CASHDEP/VIKASMARG/TP,Cash Deposits
Indiaforensic AEPS NPCI WDL SET,Other
RTGS/SBTRH15279185865/Indfor,Other
NEFT/N065180489600628/TEC,Other
INTERNAL FUND TRANSFER IN,Bank Transfers
BSES RAJDHANI POWER LIMIT,Utilities
FDRL/NATIONAL ELECTRONIC F,Bank Transfers
CHQ DEP/751/OWHYD1/HDFC/W,Other
TRF FROM  Indiaforensic SERVICES,Business Services
Indiaforensic NFS SETT 17-08-201,Other
MEHAR ENTERTAINMENT PRIVA,Entertainment
PASFAR TECHNOLOGIES PRIVA,Business Services
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
COMMISSION CHARGES,Other
CR800214261077/RMCPL20548/0,Other
FDRL/NATIONAL ELECTRONIC F,Bank Transfers
VISA POSINTACQ  SET090117,Other
IMPS 834413629614 FROM SA,Other
BIGTREE ENTERTAINMENT PRI,Entertainment
CR800216330156/RMCPL18302/0,Other
LOCALCUBE COMMERCE PRIVAT,Business Services
CASHDEP/GURGAON/,Cash Deposits
TRF FRM  Indiaforensic SERVICES,Business Services
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
Indiaforensic NFS SETT 26-09-201,Other
CASHDEP/SILVASSA/LCT,Cash Deposits
FDRL/NATIONAL ELECTRONIC F,Bank Transfers
IMPS 30082017 4C,Other
626814757031,Other
NEFT/N184180577166732/Indfor,Other
Indiaforensic AEPS NPCI WDL SET,Other
IMPS I/W 011215 1C,Other
IMPS-732112415262,Other
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
CASHDEP/KAROL BAGH/,Cash Deposits
INDIAIDEAS.COM LTD,Payment Gateways
IRCTC CORPORATE OFFICE AC,Travel
CASHDEP/NOIDA/TP,Cash Deposits
IMPS OW 171215 3C,Other
FDRL/NATIONAL ELECTRONIC F,Bank Transfers
RTGS/HDFCH18024353615/PAY,Other
CHQ DEPOSIT RETURN/659235,Other
CASHDEP/VIKASMARG/TP/CASH,Cash Deposits
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
CASHDEP/SILVASSA/,Cash Deposits
TFR FROM Indiaforensic  Indiaforensic S,Other
REV/ IMPS OW 01022016 1C,Other
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
RTGS/ICICH16036752974/Indfor,Other
PVR LIMITED,Entertainment
CASHDEP/PITAMPURA/TP,Cash Deposits
PAYU PAYMENTS PRIVATE LIM,Payment Gateways
FDRL/REAL TIME GROSS SETTL,Bank Transfers
TRF TO  Indiaforensic SERVICES I,Business Services
MICRO ATM WDL FEE DATED 2,Other
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
TRF FROM  Indiaforensic SERVICES,Business Services
CASHDEP/GURGAON/,Cash Deposits
FDRL/REAL TIME GROSS SETTL,Bank Transfers
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
CASHDEP/VAPI/,Cash Deposits
TRF FROM Indiaforensic SERVICES,Business Services
BEAT CASH PICKP 13327425,Other
PAYU PAYMENTS PRIVATE LIM,Payment Gateways
AEPS INCOME DT 10-17-2018,Other
NOMISMA MOBILE SOLUTIONS,Finance
Indiaforensic MASTER ACQ INT 220,Other
CR719212683316/RMCPL15326/1,Other
IMPS O/W 061115 2C,Other
VISA POSDOM ACQ SETTL 260,Other
NEFT/BARBQ18166374528/MAK,Other
IMPS 090118 2C,Other
CASHDEP/NOIDA/TP,Cash Deposits
NEFT/PUNBH18135266277/PUN,Other
BSES RAJDHANI POWER LIMIT,Utilities
FDRL/REAL TIME GROSS SETTL,Bank Transfers
CASHDEP/RAJOURI/,Cash Deposits
CASHDEP/GHATKOPAR/LCT,Cash Deposits
INTERNAL FUND TRANSFER IN,Bank Transfers
NEFT/N208180594787607/TEC,Other
RTGS/IDFBH18054300693/ART,Other
Indiaforensic RUPAY POS ACQ C214,Other
Indiaforensic NFS SETT 20-12-201,Other
BEAT CSH PKP DEL GURG 550,Other
TRF TO  Indiaforensic SERVICES I,Business Services
DISH INFRA SERVICES PRIVA,Other
CR811317460579/RMCPL23035/2,Other
BBPS DT 25072018,Other
AEPS Indiaforensic GST 261117,Other
CASHDEP/PANIPAT/0146,Cash Deposits
Indiaforensic NFS SETT 26-11-201,Other
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
PASFAR TECHNOLOGIES PRIVA,Business Services
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
TRANGLO SDN BHD/USD/80000,Other
IRCTC CORPORATE OFFICE AC,Travel
CASHDEP/SILVASSA/,Cash Deposits
LOCALCUBE COMMERCE PRIVAT,Business Services
TRF TO Indiaforensic SERVICES IN,Business Services
CASHDEP/VAPI/,Cash Deposits
INTERNAL FUND TRANSFER IN,Bank Transfers
IMPS IW 191215 2C,Other
NEFT/KKBK163233408160/Acc,Other
INDIAN OIL CORPORATION LT,Other
DSB SHORT CSH 1000X3 1612,Other
RTGS/SBINH16366040825/Indfor,Other
E-BILLING SOLUTIONS PRIVA,Other
INDIAIDEAS.COM LTD,Payment Gateways
BSES RAJDHANI POWER LIMIT,Utilities
RTGS/ICICH16034598147/Indfor,Other
CASHDEP/RAJOURI/,Cash Deposits
Indiaforensic MAESTRO ACQ DOM111,Other
CB814417705974/RMCPL24076/2,Other
CR725610957206/RMCPL10724/1,Other
TRF TO  Indiaforensic SERVICES I,Business Services
NEFT/AXIC170896356806/Indfor,Other
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
FDRL/NATIONAL ELECTRONIC F,Bank Transfers
